file,fpeak,q,m1,m2
sfhx_mtot2times1.3800_q0.8500_id2poles.dat,3079.7137714022642,0.85,1.2681081081081078,1.4918918918918918
sfhx_mtot2times1.4000_q0.8500_id2poles.dat,3149.707266206861,0.85,1.2864864864864862,1.5135135135135134
sfhx_mtot2times1.4200_q0.8500_id2poles.dat,3244.078745270383,0.85,1.3048648648648646,1.535135135135135
sfhx_mtot2times1.4400_q0.8500_id2poles.dat,3306.366225193135,0.85,1.323243243243243,1.5567567567567566
sfhx_mtot2times1.0000_q0.9000_id2poles.dat,2559.824570379428,0.9,0.9473684210526315,1.0526315789473684
sfhx_mtot2times1.0200_q0.9000_id2poles.dat,2541.229372089337,0.9,0.9663157894736842,1.0736842105263158
sfhx_mtot2times1.0400_q0.9000_id2poles.dat,2599.0670804660194,0.9,0.9852631578947368,1.0947368421052632
sfhx_mtot2times1.0600_q0.9000_id2poles.dat,2632.148669021276,0.9,1.0042105263157894,1.1157894736842107
sfhx_mtot2times1.0800_q0.9000_id2poles.dat,2650.1436273920376,0.9,1.023157894736842,1.136842105263158
sfhx_mtot2times1.1000_q0.9000_id2poles.dat,2678.3835317676962,0.9,1.0421052631578949,1.1578947368421053
sfhx_mtot2times1.1200_q0.9000_id2poles.dat,2682.954659381925,0.9,1.0610526315789475,1.1789473684210527
sfhx_mtot2times1.1400_q0.9000_id2poles.dat,2720.3568775544336,0.9,1.0799999999999998,1.2
sfhx_mtot2times1.1600_q0.9000_id2poles.dat,2739.7886429935947,0.9,1.0989473684210525,1.2210526315789474
sfhx_mtot2times1.1800_q0.9000_id2poles.dat,2770.6828094960797,0.9,1.1178947368421053,1.2421052631578948
sfhx_mtot2times1.2000_q0.9000_id2poles.dat,2792.2869749526535,0.9,1.1368421052631579,1.263157894736842
sfhx_mtot2times1.2200_q0.9000_id2poles.dat,2826.008025793607,0.9,1.1557894736842105,1.2842105263157895
sfhx_mtot2times1.2400_q0.9000_id2poles.dat,2842.131845664641,0.9,1.174736842105263,1.305263157894737
